
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
    17    3     7     28.0    0.525     0
    18    3     6     23.0    0.472     2
    19    3     5     24.0    0.520     1
    20    3     7     30.0    0.625     0
    21    3     6     27.0    0.503     2
    22    3     8     29.0    0.496     0
    23    3     5     27.0    0.480     1
    24    3     4     24.0    0.533     2
    25    3     3     21.0    0.350     0
    26    3     6     26.0    0.571     1
    27    3     9     28.0    0.470     2
    28    3     5     25.0    0.433     1
    29    3     7     28.0    0.565     0
    30    3     3     24.0    0.467     2
    31    3     5     25.0    0.533     2
    32    3     6     28.0    0.497     1
    33    3     7     25.0    0.502     2
    34    3     5     24.0    0.480     2
    35    3     6     23.0    0.464     1
    36    3     5     27.0    0.487     1
    37    3     5     24.0    0.450     2
    38    3     6     28.0    0.496     2
    39    3     6     27.0    0.660     2
    40    3     5     24.0    0.450     2
    41    3     5     31.0    0.533     2
    42    3     6     25.0    0.544     1
    43    3     7     28.0    0.620     0
    44    3     5     31.0    0.693     0
    45    3     6     24.0    0.528     2
    46    3     4     24.0    0.504     1
    47    3     7     32.0    0.633     0
    48    3     6     29.0    0.617     0
    49    3     8     29.0    0.578     2
    50    3     7     26.0    0.567     1
    51    3     7     28.0    0.540     0
    52    3     6     31.0    0.650     2
    53    3     4     22.0    0.440     1
    54    3     3     19.0    0.400     1
    55    3     5     26.0    0.480     2
    56    3     5     28.0    0.467     0
    57    3     4     24.0    0.340     2
    58    3     7     26.0    0.537     1
    59    3     4     26.0    0.600     2
    60    3     7     27.0    0.510     0
    61    3     6     28.0    0.543     2
    62    3     6     29.0    0.583     1
    63    3     5     27.0    0.533     0
    64    3     5     29.0    0.600     0
    65    3     5     29.0    0.533     1
    66    3     6     24.0    0.457     2
    67    3     5     21.0    0.447     1
    68    3     6     28.0    0.606     2
    69    3     6     34.0    0.560     0
